मां	{'noun': ['positive']}
भेद_का	{'adj': ['negative']}
मानमर्दन	{'noun': ['negative']}
अवसरवादी	{'adj': ['negative']}
उदास	{'anypos': ['negative'], 'adj': ['negative']}
वर्चस्व	{'adj': ['negative']}
मृत्यु	{'noun': ['negative']}
-अप_को_तोड़ने	{'anypos': ['negative']}
कर्कश	{'adj': ['negative']}
जल्दी	{'noun': ['negative']}
खतरों	{'noun': ['negative']}
बांझ	{'adj': ['negative']}
सूअर	{'noun': ['negative']}
हलचल	{'noun': ['negative']}
उत्तरदायी	{'adj': ['negative']}
विधर्म	{'noun': ['negative']}
तनाव	{'noun': ['negative']}
तारीख	{'noun': ['negative']}
असुरक्षित	{'adj': ['negative']}
अस्थिरता	{'noun': ['negative'], 'adj': ['negative']}
पैशाचिक	{'adj': ['negative']}
विस्फोट	{'noun': ['negative'], 'anypos': ['negative']}
जुझारू	{'adj': ['negative']}
पक्षपातपूर्ण	{'noun': ['negative']}
बैक-लकड़ी	{'anypos': ['negative']}
सूत्र	{'noun': ['negative']}
संतप्त	{'adj': ['negative']}
उथल-पुथल_भरे	{'adj': ['negative']}
उबलना	{'adv': ['negative']}
विलुप्त_होने	{'noun': ['negative']}
भोलेपन	{'adv': ['negative']}
अचूकता	{'noun': ['negative']}
दुखी	{'adj': ['negative']}
नाकाफी	{'adj': ['negative']}
पूर्वाग्रहों	{'noun': ['negative']}
दर्दनाक	{'adj': ['negative']}
कंजूस	{'noun': ['negative']}
मोहित	{'adj': ['negative']}
तपस्या	{'noun': ['negative']}
उल्लंघन	{'noun': ['negative']}
शंकित	{'adj': ['negative']}
फटा	{'anypos': ['negative']}
बड़बड़ाना	{'noun': ['negative']}
गतिविधि	{'noun': ['negative']}
निरादर	{'noun': ['negative']}
विभिन्न	{'adj': ['negative']}
विजेता	{'noun': ['negative']}
प्रतिज्ञा	{'noun': ['negative']}
निष्ठाहीनता	{'noun': ['negative']}
त्याग	{'noun': ['negative'], 'adj': ['negative']}
उपेक्षा	{'noun': ['negative']}
पिशाच	{'noun': ['negative']}
रसातल	{'noun': ['negative']}
पार	{'adj': ['negative']}
विचलन	{'noun': ['negative']}
एकरसता	{'noun': ['negative']}
आपदाओं	{'noun': ['negative']}
दंडनीय	{'adj': ['negative']}
अपव्ययिता	{'noun': ['negative']}
अहंभाव	{'noun': ['negative']}
अपरिपक्व	{'adj': ['negative']}
गंभीरता_से	{'adv': ['negative']}
विचारशून्य	{'adj': ['negative']}
पुनरोदय	{'noun': ['negative']}
प्रतिमाएं	{'anypos': ['negative']}
घटिया	{'adj': ['negative']}
भीड़	{'noun': ['negative'], 'adj': ['negative']}
अनुपस्थित_होनेवाला	{'anypos': ['negative']}
मिलावट	{'noun': ['negative']}
सुगम	{'adj': ['negative']}
मृत	{'adj': ['negative']}
क्षत	{'adj': ['negative']}
दुष्ट	{'noun': ['negative'], 'adj': ['negative']}
ज़ोर_से_मार	{'adj': ['negative']}
विध्वंसक	{'noun': ['negative']}
चतुर	{'adj': ['negative']}
झटका	{'noun': ['negative']}
यानतोड़क_तोपें	{'noun': ['negative']}
असहिष्णुता	{'noun': ['negative']}
कटाक्ष	{'noun': ['negative']}
धोखाधड़ी	{'noun': ['negative'], 'adj': ['negative']}
परस्पर-विरोधी	{'anypos': ['negative'], 'adj': ['negative']}
दूसरी_श्रेणी	{'adj': ['negative']}
भीख_मांगना	{'noun': ['negative']}
गलतियों	{'noun': ['negative']}
बेजोड़ता	{'noun': ['negative']}
हठधर्मी	{'noun': ['negative']}
ख़तरनाक	{'adj': ['negative']}
शिकायत	{'noun': ['negative']}
डाकू	{'noun': ['negative']}
अद्वितीयता_से	{'adv': ['negative']}
निराशाजनक	{'adj': ['negative']}
झूठ	{'noun': ['negative']}
टकराव	{'noun': ['negative'], 'adj': ['negative']}
हिलनेवाला	{'adj': ['negative']}
वहमी	{'noun': ['negative']}
शूकरशाला	{'noun': ['negative']}
अनिश्चितकालीन	{'adj': ['negative']}
विफलताओं	{'noun': ['negative']}
परेशानी	{'noun': ['negative']}
भ्रामक	{'anypos': ['negative']}
कांप	{'adj': ['negative']}
मृतक	{'adj': ['negative']}
भ्रमित	{'anypos': ['negative']}
बदसूरत	{'adj': ['negative']}
संशय	{'noun': ['negative']}
काटा_हुआ_नहीं	{'adj': ['negative']}
तैयार_नहीं	{'adj': ['negative']}
चरमपंथियों	{'noun': ['negative']}
अनौचित्य	{'noun': ['negative']}
धुंधला	{'anypos': ['negative'], 'adj': ['negative']}
अपघर्षक	{'adj': ['negative']}
धनी	{'adj': ['negative']}
गला_घोंटनेवाला	{'noun': ['negative']}
शब्दाडंबरपूर्ण	{'noun': ['negative']}
अपमान	{'noun': ['negative'], 'anypos': ['negative']}
सड़ा_हुआ	{'adj': ['negative']}
मामूली	{'adj': ['negative']}
प्रतिकूलता	{'noun': ['negative']}
हिस्टीरिया	{'noun': ['negative']}
अनपेक्षित	{'adj': ['negative']}
औसत_दर्जे_का	{'adj': ['negative']}
झूठ_करनेवाला	{'noun': ['negative']}
अफवाहें	{'noun': ['negative']}
दमन	{'noun': ['negative']}
हवा_भरा_हुआ	{'adj': ['negative']}
क्लिष्ट	{'adj': ['negative']}
व्यग्र	{'adj': ['negative']}
लुच्चा	{'noun': ['negative']}
कंकाल	{'noun': ['negative']}
तसलीम	{'noun': ['negative']}
छायादार	{'adj': ['negative']}
भिक्षावृति	{'noun': ['negative']}
रुकावट	{'anypos': ['negative']}
साहसी	{'noun': ['negative'], 'adj': ['negative']}
गिरने	{'adj': ['negative']}
उच्छृंखल	{'adj': ['negative']}
रंग	{'noun': ['negative']}
निस्संदेह	{'adj': ['negative']}
अन्यायी	{'adj': ['negative']}
बेतकल्लुफ़	{'adv': ['negative']}
हंसी-उत्तेजक_अभी_तक	{'adj': ['negative']}
अयुक्तता	{'noun': ['negative']}
आत्म-आलोचना	{'noun': ['negative']}
धीरे_से_बोलना	{'adj': ['negative']}
लात	{'noun': ['negative']}
डरपोक	{'anypos': ['negative'], 'adj': ['negative']}
नाराज़	{'adj': ['negative']}
निरंकुश	{'noun': ['negative'], 'adj': ['negative']}
क्षीणतापूर्वक	{'anypos': ['negative']}
घपला	{'adj': ['negative']}
बर्बता	{'noun': ['negative']}
काल	{'adj': ['negative']}
नृशंसता	{'adv': ['negative']}
अभिमान	{'noun': ['negative']}
लालसा	{'noun': ['negative']}
कल्पित	{'adj': ['negative']}
अगाध	{'anypos': ['negative'], 'adj': ['negative']}
भयानकता	{'noun': ['negative'], 'adv': ['negative']}
अमान्य	{'adj': ['negative']}
ख़ुशबूदार	{'adj': ['negative']}
क्षमा_की_प्रार्थना_करनेवाला	{'noun': ['negative']}
द्विध्रुवी	{'adj': ['negative']}
बेपरवाह	{'noun': ['negative']}
पीड़ा	{'noun': ['negative']}
मुहासेवाला	{'anypos': ['negative']}
उपाध्यक्ष	{'noun': ['negative']}
क्रेप्स	{'anypos': ['negative']}
विसंगत	{'adj': ['negative']}
खाली	{'adj': ['negative']}
टूटे_हुए_दिल_से	{'adj': ['negative']}
निराशावादी	{'adj': ['negative']}
बेदर्द	{'adj': ['negative']}
विसंगति	{'noun': ['negative']}
नाराज	{'adj': ['negative']}
अप्रसन्न	{'adj': ['negative']}
सर्द	{'adj': ['negative']}
दीर्घ	{'adj': ['negative']}
ज़िद्दी	{'adj': ['negative']}
कोसते	{'anypos': ['negative']}
सदोष	{'adj': ['negative']}
बिल्ली	{'noun': ['negative']}
खून_का_प्यासा	{'adj': ['negative']}
व्यामोह	{'noun': ['negative']}
ताऊन	{'noun': ['negative']}
महत्वपूर्ण	{'anypos': ['negative']}
अन्याय	{'noun': ['negative'], 'adv': ['negative']}
लालची	{'adj': ['negative']}
व्यवसाय	{'noun': ['negative']}
सोना	{'noun': ['negative']}
दुराचार	{'noun': ['negative']}
अनभ्यस्त	{'adj': ['negative']}
ख़ारिज	{'noun': ['negative']}
कांटेदार	{'noun': ['negative']}
दुर्बल	{'adj': ['negative']}
आरामपसंद	{'adj': ['negative']}
व्यसन	{'noun': ['negative']}
अप्रकाशित	{'adj': ['negative']}
निरर्थकता	{'noun': ['negative']}
राज्य	{'noun': ['negative']}
अटल	{'adj': ['negative']}
स्लिम	{'adj': ['negative']}
पक्षपात	{'noun': ['negative']}
अविच्छेद्य	{'adj': ['negative']}
चमकी_का	{'adj': ['negative']}
सौम्य	{'adj': ['negative']}
बेदिल	{'adj': ['negative']}
लघु_परिपथ	{'noun': ['negative']}
अनजान	{'noun': ['negative']}
बाज़ीगर	{'noun': ['negative']}
मजेदार	{'adj': ['negative']}
भयंकर_रूप	{'anypos': ['negative']}
सांड_****	{'anypos': ['negative']}
चालाक	{'adj': ['negative']}
विरोधात्मक	{'noun': ['negative'], 'adj': ['negative']}
चरमराहट	{'anypos': ['negative']}
विडंबना_यह_है_कि	{'adv': ['negative']}
इनकार	{'noun': ['negative']}
होड़	{'noun': ['negative']}
भरमार	{'noun': ['negative']}
आराम	{'adj': ['negative']}
अकुलीन	{'adj': ['negative']}
उपयुक्त	{'adj': ['negative']}
इनाम	{'noun': ['negative']}
षड्यंत्र	{'noun': ['negative']}
कुचल	{'anypos': ['negative']}
चंचल	{'adj': ['negative']}
भड़कानेवाला_व्यक्ति	{'noun': ['negative']}
चिकनाई	{'noun': ['negative']}
चकमा_दे_रहा_है	{'noun': ['negative']}
निर्दयता	{'noun': ['negative'], 'adv': ['negative']}
बुराइयों	{'noun': ['negative']}
सरलता	{'noun': ['negative']}
मांदा	{'anypos': ['negative']}
युद्धरत	{'anypos': ['negative']}
दरिद्रता	{'noun': ['negative']}
भड़काने	{'noun': ['negative']}
झाई	{'anypos': ['negative']}
अपरिमेय	{'adj': ['negative']}
भ्रम_की_स्थिति	{'noun': ['negative']}
दिखावटी	{'adj': ['negative']}
नशेड़ी	{'anypos': ['negative']}
राजदूत	{'noun': ['negative']}
बव्वा	{'noun': ['negative']}
निर्बाध	{'adj': ['negative']}
अलग	{'adj': ['negative']}
नाज़ुक_हालत	{'noun': ['negative']}
2-चेहरे	{'anypos': ['negative']}
फालतूपन	{'noun': ['negative']}
क्षतिग्रस्त	{'anypos': ['negative']}
गुस्सा	{'adj': ['negative']}
आत्मघात	{'adj': ['negative']}
नीचा_दिखा	{'adj': ['negative']}
कठिनाई	{'noun': ['negative']}
रक्षात्मक	{'adj': ['negative']}
उबाते	{'adv': ['negative']}
दिवालिया	{'adj': ['negative']}
तेवर	{'noun': ['negative']}
गप्पी	{'anypos': ['negative']}
धोखा_दे	{'anypos': ['negative'], 'adj': ['negative']}
बुरा_कल्पना	{'adj': ['negative']}
शैतान	{'noun': ['negative'], 'adj': ['negative']}
अंधविश्वास	{'noun': ['negative']}
अथक	{'adj': ['negative']}
शब्दो_में	{'adv': ['negative']}
बदमाश	{'noun': ['negative'], 'anypos': ['negative']}
अधम	{'adj': ['negative']}
असंतोष	{'noun': ['negative']}
मिरगी	{'noun': ['negative']}
कांटे	{'noun': ['negative']}
अशुद्ध_गणना	{'noun': ['negative']}
अवैयक्तिक	{'adj': ['negative']}
द्वैधवृत्तिक	{'noun': ['negative']}
टालमटोल	{'noun': ['negative']}
तर्कों	{'noun': ['negative']}
गिर_गया	{'adj': ['negative']}
अभद्रता	{'noun': ['negative']}
बेहोश	{'adj': ['negative']}
बेशर्म	{'adj': ['negative']}
ईश-निंदा	{'noun': ['negative']}
दोषपूर्ण	{'adj': ['negative']}
निशान	{'noun': ['negative']}
नपुंसक	{'noun': ['negative']}
परीक्षण	{'noun': ['negative']}
नशे_में_न_होना	{'adj': ['negative']}
अगस्त	{'adj': ['negative']}
आगे_बढ़ने_की_अनुमति	{'noun': ['negative']}
ध्यान_भंग	{'adj': ['negative']}
बेरहमी	{'noun': ['negative']}
जॉर्ज	{'noun': ['negative']}
विरोधी_सफेद	{'noun': ['negative']}
अप्रतिस्पर्धी	{'adj': ['negative']}
सतर्क	{'adj': ['negative']}
नाकाफीता	{'noun': ['negative']}
खतरा	{'noun': ['negative']}
तेल	{'noun': ['negative']}
खामियां	{'noun': ['negative']}
घेर_लेना	{'adj': ['negative']}
अनुचित_तरीके	{'adv': ['negative']}
सुलझाया	{'adj': ['negative']}
चुभता	{'adj': ['negative']}
असमानताओं	{'noun': ['negative']}
दुर्भाग्य	{'noun': ['negative']}
दुर्घटनाग्रस्त_हो_गया	{'anypos': ['negative']}
बीजान्टिन	{'adj': ['negative']}
बेशर्मी	{'noun': ['negative']}
सांसारिक	{'adj': ['negative']}
षड्यंत्रकारी	{'noun': ['negative']}
अनन्य	{'adj': ['negative']}
हंगामों	{'anypos': ['negative']}
अखंडनीय	{'adj': ['negative']}
पवित्रता	{'noun': ['negative']}
सबसे_डरावने	{'adj': ['negative']}
नाज़ुक	{'noun': ['negative'], 'adj': ['negative']}
पाप	{'noun': ['negative']}
कोरांटीन	{'noun': ['negative']}
आडंबरपूर्ण	{'adj': ['negative']}
अकथनीय	{'adj': ['negative']}
अधर्म	{'noun': ['negative'], 'adj': ['negative']}
संगदिल	{'adj': ['negative']}
सुलगनेवाला	{'adj': ['negative']}
उद्वेग_से	{'anypos': ['negative']}
उन्माद	{'noun': ['negative']}
भीड़-भाड़	{'noun': ['negative']}
शोक	{'noun': ['negative']}
ढेर	{'noun': ['negative']}
तबाही	{'noun': ['negative']}
प्रचुर	{'adj': ['negative']}
उजाड़	{'adj': ['negative']}
अति_आवश्यक	{'noun': ['negative']}
लकीर	{'noun': ['negative']}
बलि_का_बकरा	{'noun': ['negative']}
व्यंगपूर्ण	{'adj': ['negative']}
चुड़ैल	{'noun': ['negative']}
कमजोरियों	{'noun': ['negative']}
आक्रमण	{'noun': ['negative'], 'anypos': ['negative']}
गोलंदाज़ी	{'noun': ['negative']}
अनाथ	{'noun': ['negative'], 'adj': ['negative']}
महामारी	{'adj': ['negative']}
गूंज	{'anypos': ['negative']}
इस्तीफा_दे_दिया	{'adj': ['negative']}
जल्दबाजी_में	{'adj': ['negative']}
ज़रूरत_से_ज़्यादा	{'adj': ['negative']}
बुखार	{'noun': ['negative']}
पूरा_हुआ	{'adj': ['negative']}
बड़ी_भूल	{'noun': ['negative']}
अभागी	{'adj': ['negative']}
सतही	{'noun': ['negative'], 'adj': ['negative']}
अल्हड़ी	{'noun': ['negative']}
विरोध	{'noun': ['negative']}
विरोधी_इजरायल	{'noun': ['negative'], 'anypos': ['negative']}
हठीलेपन	{'adv': ['negative']}
ठंडा	{'adj': ['negative']}
अन्धकारमय	{'adj': ['negative']}
कोड़ा	{'noun': ['negative']}
असमर्थता	{'noun': ['negative']}
नालायक	{'adj': ['negative']}
अपुष्ट	{'adj': ['negative']}
आसान	{'adj': ['negative']}
अति_पीड़ा_देनेवाला	{'anypos': ['negative']}
रसहीन	{'adj': ['negative']}
अनियंत्रित	{'adj': ['negative']}
अपूर्वदृष्ट	{'adj': ['negative']}
बुरी_तरह	{'adj': ['negative']}
लपेटने	{'noun': ['negative']}
सशक्त	{'adj': ['negative']}
लोहे_का	{'adj': ['negative']}
भटकते_हुए	{'anypos': ['negative']}
गढ़ा	{'noun': ['negative']}
भुलक्कड़	{'noun': ['negative'], 'adj': ['negative']}
सेवक	{'adj': ['negative']}
उपन्यास	{'noun': ['negative']}
नशा	{'noun': ['negative']}
बेकार	{'adv': ['negative'], 'adj': ['negative']}
तंत्रिकाओं	{'noun': ['negative']}
उल्लास	{'noun': ['negative']}
बीमार_उपयोग	{'noun': ['negative']}
जानवर	{'noun': ['negative']}
असंभवता	{'noun': ['negative']}
गोलमोल	{'adj': ['negative']}
शर्मीला	{'adj': ['negative']}
बेवक़ूफ़	{'anypos': ['negative']}
दम्भी	{'adj': ['negative']}
प्रतिगामी	{'adj': ['negative']}
द्रऋह	{'noun': ['negative']}
हिंसात्मक	{'adj': ['negative']}
तर्कहीन	{'adj': ['negative']}
अधीन	{'noun': ['negative'], 'adj': ['negative']}
असंतुलन	{'noun': ['negative']}
अक्षांश	{'noun': ['negative']}
खलनायक	{'noun': ['negative']}
जादूगर	{'noun': ['negative']}
काउंटर	{'noun': ['negative']}
विरूपण	{'noun': ['negative']}
प्रसिद्ध	{'adj': ['negative']}
आपत्ति	{'noun': ['negative']}
मुरझाया_हुआ	{'adj': ['negative']}
वैराग्य	{'noun': ['negative']}
पूल	{'noun': ['negative']}
शिकायतों	{'noun': ['negative']}
आकस्मिक	{'adj': ['negative']}
अदक्ष	{'adj': ['negative']}
कोलाहलमय	{'adj': ['negative']}
विवादपूर्ण	{'anypos': ['negative']}
अक्षम	{'adj': ['negative']}
हार्डबॉल	{'noun': ['negative']}
असंवेदनशीलता	{'noun': ['negative']}
कॉमेडी	{'adj': ['negative']}
गंवार	{'adj': ['negative']}
तर्कहीनता	{'noun': ['negative']}
कैंसर	{'noun': ['negative']}
बुरा	{'adj': ['negative']}
क्रांतिकारी	{'adj': ['negative']}
तैयार	{'adj': ['negative']}
एकतरफा	{'noun': ['negative']}
तुला	{'adj': ['negative']}
खीज	{'noun': ['negative']}
परेशान_करनेवाला	{'adj': ['negative']}
वसायुक्त	{'adj': ['negative']}
ऋणी	{'adj': ['negative']}
असाध्य	{'adj': ['negative']}
आतंक	{'noun': ['negative']}
एकध्रुवीय	{'noun': ['negative']}
अंतर्विरोध	{'noun': ['negative']}
किसी_का_ध्यान_नहीं	{'adj': ['negative']}
चिंता	{'noun': ['negative']}
असाधारण	{'adj': ['negative']}
अवैध	{'adv': ['negative'], 'adj': ['negative']}
बदकिस्मत	{'adj': ['negative']}
दलील	{'noun': ['negative']}
लक्षण	{'noun': ['negative']}
निषेधात्मक	{'adj': ['negative']}
निष्ठुरता	{'noun': ['negative']}
तुरत-फुरत_शेर_कहकर	{'adv': ['negative']}
न्युरोटिक	{'adj': ['negative']}
महासागर_की_गहराई_या_पाताल-संबंधी	{'adj': ['negative']}
पत्ते_के_रूप_में	{'adj': ['negative']}
अभेद्य	{'adj': ['negative']}
स्वेच्छाचार	{'anypos': ['negative']}
पार्टी_की_योजना_बनाई	{'anypos': ['negative']}
ढलते	{'noun': ['negative']}
निर्वासन	{'noun': ['negative']}
जड़ता	{'noun': ['negative']}
योनी	{'anypos': ['negative']}
सुस्पष्ट	{'anypos': ['negative']}
घृणास्पद	{'adj': ['negative']}
गलत_तरीके_से	{'adv': ['negative'], 'adj': ['negative']}
प्रणाली	{'noun': ['negative']}
बलपूर्वक	{'adv': ['negative'], 'adj': ['negative']}
अस्वीकार	{'noun': ['negative']}
अपरिष्कृत	{'adj': ['negative']}
नरक	{'noun': ['negative']}
गिरते	{'adj': ['negative']}
अक्षमता	{'noun': ['negative']}
दुखद	{'adj': ['negative']}
कंफ़ेसर	{'noun': ['negative']}
कातनेवाली	{'noun': ['negative']}
कुरूप	{'adj': ['negative']}
बोली_में_हेराफेरी	{'adj': ['negative']}
भंग_करनेवाला	{'noun': ['negative']}
भाग्यवादी	{'adj': ['negative']}
विफल_हुआ	{'anypos': ['negative']}
विचारधारा_वाले	{'adj': ['negative']}
दुर्घटना	{'noun': ['negative'], 'adj': ['negative']}
निर्बल	{'adj': ['negative']}
आत्म_तख्तापलट	{'noun': ['negative']}
नाकाम_रहने_के	{'noun': ['negative']}
जुनूनी	{'adj': ['negative']}
मक्खियों_द्वारा_गंदा_कर_दिया_गया	{'adj': ['negative']}
समस्यात्मक	{'noun': ['negative']}
बहशीपन	{'noun': ['negative']}
टूट_जाता_है	{'anypos': ['negative']}
मंदी	{'noun': ['negative'], 'adj': ['negative']}
2_का_सामना_करना_पड़ा	{'anypos': ['negative']}
टालना	{'noun': ['negative']}
तात्कालिकता	{'noun': ['negative']}
नकारात्मक_पहलू	{'noun': ['negative']}
निन्दा	{'noun': ['negative']}
पाशविक	{'adj': ['negative']}
मज़ा	{'noun': ['negative'], 'adj': ['negative']}
घटिया_इंसान	{'noun': ['negative']}
असहाय	{'adv': ['negative'], 'adj': ['negative']}
प्रदूषण_फैलाने	{'noun': ['negative']}
ज़ोर_से_मारना	{'noun': ['negative']}
झेंप	{'adv': ['negative']}
निराश	{'adj': ['negative']}
छेद	{'noun': ['negative']}
बेक़ायदा	{'adj': ['negative']}
दुश्मन	{'noun': ['negative']}
कंगाल	{'noun': ['negative']}
जोखिम_मुक्त	{'adj': ['negative']}
असावधानीपूर्ण	{'noun': ['negative']}
अन्वेषण	{'noun': ['negative']}
पीला	{'noun': ['negative']}
पद	{'adj': ['negative']}
भ्रष्टाचरण	{'adj': ['negative']}
विषैला	{'adj': ['negative']}
दर्द	{'noun': ['negative'], 'anypos': ['negative'], 'adv': ['negative']}
असमंजस	{'noun': ['negative']}
अरक्षणीय	{'adj': ['negative']}
बेहूदा_बात	{'noun': ['negative']}
बेचैनी	{'noun': ['negative']}
आडू	{'noun': ['negative']}
हानिकारक	{'adj': ['negative']}
व्यापक	{'noun': ['negative']}
उदासीनता	{'noun': ['negative']}
अकादमी	{'noun': ['negative']}
अशुद्ध	{'adj': ['negative']}
असुरूपता	{'noun': ['negative']}
गोलमाल_करनेवाला	{'anypos': ['negative']}
अशिष्टता	{'noun': ['negative']}
सर्वाधिक_जानकार	{'adj': ['negative']}
फ़्लैश	{'noun': ['negative']}
बदली_का	{'adj': ['negative']}
नक़ली	{'adj': ['negative']}
अपार	{'adj': ['negative']}
नीचता	{'noun': ['negative']}
असजीला	{'adj': ['negative']}
सीधा	{'adj': ['negative']}
घृणा	{'noun': ['negative']}
अवास्तविक	{'adj': ['negative']}
निस्तेज	{'adj': ['negative']}
अछूता	{'adj': ['negative']}
आपा	{'noun': ['negative']}
भयंकर	{'anypos': ['negative'], 'adj': ['negative']}
कसूरवार	{'adj': ['negative']}
विपक्ष	{'noun': ['negative'], 'anypos': ['negative']}
जलता	{'anypos': ['negative']}
ख़तरा	{'noun': ['negative']}
सुगंधित	{'adj': ['negative']}
